frame_index,time_epoch,src_ip,dst_ip,src_port,dst_port,direction,payload_bytes,syn,fin,rst,ack,probable_retransmission
160,1781802245.4351563,PRIVATE_IP_021,PRIVATE_IP_001,502,47124,response,0,1,0,0,1,0
161,1781802245.4352021,PRIVATE_IP_001,PRIVATE_IP_021,47124,502,query,0,0,0,0,1,0
162,1781802245.4355712,PRIVATE_IP_001,PRIVATE_IP_021,47124,502,query,0,0,1,0,1,0
163,1781802245.4388983,PRIVATE_IP_021,PRIVATE_IP_001,502,47124,response,0,0,0,0,1,0
164,1781802245.4427645,PRIVATE_IP_021,PRIVATE_IP_001,502,47124,response,0,0,1,0,1,0
165,1781802245.4428215,PRIVATE_IP_001,PRIVATE_IP_021,47124,502,query,0,0,0,0,1,0
166,1781802245.8518574,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,12,0,0,0,1,0
167,1781802245.861322,PRIVATE_IP_021,PRIVATE_IP_001,502,50432,response,159,0,0,0,1,0
168,1781802245.8614154,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,0,0,0,0,1,0
169,1781802245.8683574,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,12,0,0,0,1,0
170,1781802245.8707712,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,12,0,0,0,1,0
171,1781802245.8760076,PRIVATE_IP_021,PRIVATE_IP_001,502,50432,response,11,0,0,0,1,0
172,1781802245.8781838,PRIVATE_IP_021,PRIVATE_IP_001,502,35586,response,181,0,0,0,1,0
173,1781802245.8782678,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,0,0,0,0,1,0
174,1781802245.8795526,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,12,0,0,0,1,0
175,1781802245.8807797,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,12,0,0,0,1,0
176,1781802245.8872342,PRIVATE_IP_021,PRIVATE_IP_001,502,35586,response,181,0,0,0,1,0
177,1781802245.8908,PRIVATE_IP_021,PRIVATE_IP_001,502,50432,response,11,0,0,0,1,0
178,1781802245.9281042,PRIVATE_IP_001,PRIVATE_IP_021,35586,502,query,0,0,0,0,1,0
179,1781802245.9311287,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,0,0,0,0,1,0
180,1781802246.433439,PRIVATE_IP_001,PRIVATE_IP_021,47132,502,query,0,1,0,0,0,0
181,1781802246.4373884,PRIVATE_IP_021,PRIVATE_IP_001,502,47132,response,0,1,0,0,1,0
182,1781802246.4374392,PRIVATE_IP_001,PRIVATE_IP_021,47132,502,query,0,0,0,0,1,0
183,1781802246.4398217,PRIVATE_IP_001,PRIVATE_IP_021,47132,502,query,0,0,1,0,1,0
184,1781802246.442658,PRIVATE_IP_021,PRIVATE_IP_001,502,47132,response,0,0,0,0,1,0
185,1781802246.4487407,PRIVATE_IP_021,PRIVATE_IP_001,502,47132,response,0,0,1,0,1,0
186,1781802246.4487922,PRIVATE_IP_001,PRIVATE_IP_021,47132,502,query,0,0,0,0,1,0
187,1781802246.868237,PRIVATE_IP_001,PRIVATE_IP_021,50432,502,query,12,0,0,0,1,0
