source_path_redacted,public_path,action,reason,source_size_bytes
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/payload_entropy.csv,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/payload_entropy.csv,sanitized_text,text identifiers and sensitive values redacted,88
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/pmtu_loss_summary.csv,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/pmtu_loss_summary.csv,sanitized_text,text identifiers and sensitive values redacted,615
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/probe_dataset.csv,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/probe_dataset.csv,sanitized_text,text identifiers and sensitive values redacted,665848
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/probe_interpretation.csv,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/probe_interpretation.csv,sanitized_text,text identifiers and sensitive values redacted,2916
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/ram_process_summary.csv,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/ram_process_summary.csv,sanitized_text,text identifiers and sensitive values redacted,2073
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/ram_vmstat_samples.csv,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/ram_vmstat_samples.csv,sanitized_text,text identifiers and sensitive values redacted,86720
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/ram_vmstat_summary.csv,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/ram_vmstat_summary.csv,sanitized_text,text identifiers and sensitive values redacted,1142
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/summary.csv,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/summary.csv,sanitized_text,text identifiers and sensitive values redacted,2079
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/tcp_connect_PRIVATE_IP_021_502.csv,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/tcp_connect_PRIVATE_IP_021_502.csv,sanitized_text,text identifiers and sensitive values redacted,27314
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/tcp_connect_stats.csv,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/tcp_connect_stats.csv,sanitized_text,text identifiers and sensitive values redacted,268
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/tcp_health_summary.csv,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/csv/tcp_health_summary.csv,sanitized_text,text identifiers and sensitive values redacted,1304
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/figures/ram_components_timeseries.png,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/figures/ram_components_timeseries.png,sanitized_image,image title/header sanitized,158033
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/figures/ram_process_cumulative.png,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/figures/ram_process_cumulative.png,sanitized_image,image title/header sanitized,279474
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/figures/ram_swap_io_timeseries.png,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/figures/ram_swap_io_timeseries.png,sanitized_image,image title/header sanitized,111139
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/figures/ram_total_scenario_timeseries.png,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/figures/ram_total_scenario_timeseries.png,sanitized_image,image title/header sanitized,157391
Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/figures/ram_vmstat_timeseries.png,Baseline/Res_SCADA_red/baseline_PRIVATE_IP_021_20260529_154853/figures/ram_vmstat_timeseries.png,sanitized_image,image title/header sanitized,158494
