procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   2328 1376180 402152 20417988    0    0     0   236 2066 1760  2  1 97  0  0  0
 5  0   2328 1373240 402152 20418028    0    0     0  1144 4350 3387  7  4 89  0  0  0
 0  0   2328 1372736 402152 20418044    0    0     0    84 3199 2021  3  2 95  0  0  0
 0  0   2328 1370496 402152 20418072    0    0     0   108 2232 1804  2  2 96  0  0  0
 0  0   2328 1377300 402152 20418100    0    0     0   300 2332 1949  2  2 96  0  0  0
 0  0   2328 1376068 402152 20418116    0    0     0   132 2587 2254  3  2 95  0  0  0
 0  0   2328 1373456 402152 20418152    0    0     0   464 3559 2786  3  4 93  0  0  0
 0  0   2328 1366248 402152 20418172    0    0     0    96 5026 5555  4  3 94  0  0  0
 0  0   2328 1364488 402152 20418212    0    0     0    92 2232 1869  2  2 96  0  0  0
 3  0   2328 1361384 402152 20418228    0    0     0   248 3409 3703  2  2 96  0  0  0
 0  0   2328 1373768 402152 20418268    0    0     0   184 2961 2457  3  2 95  0  0  0
 1  0   2328 1369936 402152 20418304    0    0     0  1252 4347 4218  3  3 93  0  0  0
 2  0   2328 1374704 402152 20418328    0    0     0    88 3326 2923  3  3 93  0  0  0
 0  0   2328 1373444 402152 20418368    0    0     0   116 2494 2042  2  2 95  0  0  0
 0  0   2328 1372688 402152 20418412    0    0     0   236 2278 1750  2  2 96  0  0  0
 0  0   2328 1370924 402152 20418432    0    0     0   140 2419 1943  2  2 96  0  0  0
 1  0   2328 1368180 402152 20418456    0    0     0   468 2826 2638  2  2 96  0  0  0
 0  0   2328 1375060 402152 20418612    0    0     0   904 4703 4218  4  4 92  0  0  0
 0  0   2328 1373048 402152 20418636    0    0     0    88 2446 2121  2  1 97  0  0  0
 0  0   2328 1373364 402152 20418672    0    0     0   260 2116 1856  2  2 97  0  0  0
 0  0   2328 1373364 402152 20418692    0    0     0   124 2290 1885  2  2 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   2328 1371656 402152 20418712    0    0     0   272 2470 2070  2  2 95  0  0  0
 1  0   2328 1372844 402152 20418752    0    0     0  1060 3737 2702  4  4 93  0  0  0
 0  0   2328 1371332 402152 20418768    0    0     0   100 3417 2554  6  2 91  0  0  0
 0  0   2328 1378236 402152 20418804    0    0     0   244 2291 1876  2  2 96  0  0  0
 0  0   2328 1375232 402152 20418816    0    0     0   144 2632 1986  2  2 96  1  0  0
 0  0   2328 1373976 402152 20418844    0    0     0   340 2221 1882  2  2 97  0  0  0
