frame_index,adu_index,time_epoch,time_s,src_ip,dst_ip,src_port,dst_port,tcp_flags,tcp_seq,tcp_ack,direction,client_ip,server_ip,client_port,server_port,transaction_id,unit_id,function_code,function_base,function_name,is_exception,exception_code,exception_name,start_addr,quantity,byte_count,write_value,tcp_payload_bytes,adu_bytes,pdu_hex,parse_note,register_signature
223,1,1780087737.7486665,2.000863790512085,PRIVATE_IP_001,PRIVATE_IP_018,38884,502,PA,2444396568,109772555,Query,PRIVATE_IP_001,PRIVATE_IP_018,38884,502,78,1,3,3,Read Holding Registers,False,,,0.0,100.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_018|U1|FC3|addr=0|qty=100
224,1,1780087737.752241,2.0044381618499756,PRIVATE_IP_018,PRIVATE_IP_001,502,38884,PA,109772555,2444396580,Response,PRIVATE_IP_001,PRIVATE_IP_018,38884,502,78,1,3,3,Read Holding Registers,False,,,,,200.0,,209,209,REDACTED_PAYLOAD,ok,PRIVATE_IP_018|U1|FC3|no_addr
226,1,1780087737.7535384,2.0057356357574463,PRIVATE_IP_020,PRIVATE_IP_001,502,44326,PA,3476812848,1689230238,Response,PRIVATE_IP_001,PRIVATE_IP_020,44326,502,78,1,3,3,Read Holding Registers,False,,,,,200.0,,209,209,REDACTED_PAYLOAD,ok,PRIVATE_IP_020|U1|FC3|no_addr
228,1,1780087737.7682924,2.0204896926879883,PRIVATE_IP_001,PRIVATE_IP_019,59748,502,PA,917162861,659711722,Query,PRIVATE_IP_001,PRIVATE_IP_019,59748,502,78,1,3,3,Read Holding Registers,False,,,0.0,100.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_019|U1|FC3|addr=0|qty=100
229,1,1780087737.7738378,2.0260350704193115,PRIVATE_IP_019,PRIVATE_IP_001,502,59748,PA,659711722,917162873,Response,PRIVATE_IP_001,PRIVATE_IP_019,59748,502,78,1,3,3,Read Holding Registers,False,,,,,200.0,,209,209,REDACTED_PAYLOAD,ok,PRIVATE_IP_019|U1|FC3|no_addr
231,1,1780087737.8374555,2.0896527767181396,PRIVATE_IP_001,PRIVATE_IP_017,57898,502,PA,2556262972,138279579,Query,PRIVATE_IP_001,PRIVATE_IP_017,57898,502,78,1,3,3,Read Holding Registers,False,,,0.0,100.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_017|U1|FC3|addr=0|qty=100
232,1,1780087737.8421469,2.094344139099121,PRIVATE_IP_017,PRIVATE_IP_001,502,57898,PA,138279579,2556262984,Response,PRIVATE_IP_001,PRIVATE_IP_017,57898,502,78,1,3,3,Read Holding Registers,False,,,,,200.0,,209,209,REDACTED_PAYLOAD,ok,PRIVATE_IP_017|U1|FC3|no_addr
290,1,1780087737.90362,2.1558172702789307,PRIVATE_IP_001,PRIVATE_IP_018,38980,502,PA,1198448179,1313021476,Query,PRIVATE_IP_001,PRIVATE_IP_018,38980,502,38,1,3,3,Read Holding Registers,False,,,53.0,1.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_018|U1|FC3|addr=53|qty=1
291,1,1780087737.9055436,2.157740831375122,PRIVATE_IP_001,PRIVATE_IP_017,57952,502,PA,3481319810,1651345882,Query,PRIVATE_IP_001,PRIVATE_IP_017,57952,502,38,1,3,3,Read Holding Registers,False,,,24.0,1.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_017|U1|FC3|addr=24|qty=1
292,1,1780087737.9056015,2.1577987670898438,PRIVATE_IP_001,PRIVATE_IP_019,59746,502,PA,1024050124,3253415192,Query,PRIVATE_IP_001,PRIVATE_IP_019,59746,502,40,1,3,3,Read Holding Registers,False,,,0.0,76.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_019|U1|FC3|addr=0|qty=76
293,1,1780087737.9067242,2.158921480178833,PRIVATE_IP_001,PRIVATE_IP_016,34020,502,PA,1278066939,557856645,Query,PRIVATE_IP_001,PRIVATE_IP_016,34020,502,6,1,3,3,Read Holding Registers,False,,,1.0,1.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_016|U1|FC3|addr=1|qty=1
294,1,1780087737.906767,2.158964157104492,PRIVATE_IP_001,PRIVATE_IP_021,43314,502,PA,3244923988,1281755408,Query,PRIVATE_IP_001,PRIVATE_IP_021,43314,502,196,1,3,3,Read Holding Registers,False,,,94.0,75.0,,,12,12,REDACTED_PAYLOAD,ok,PRIVATE_IP_021|U1|FC3|addr=94|qty=75
