frame_index,time_s,src_ip,dst_ip,src_port,dst_port,direction,payload_bytes,syn,fin,rst,probable_retransmission,flags
276,2.147416591644287,PRIVATE_IP_020,PRIVATE_IP_001,502,43326,Response,0,0,1,0,0,FA
277,2.1474549770355225,PRIVATE_IP_001,PRIVATE_IP_020,43326,502,Query,0,0,0,0,0,A
278,2.147486686706543,PRIVATE_IP_017,PRIVATE_IP_001,502,54564,Response,0,0,1,0,0,FA
279,2.147512435913086,PRIVATE_IP_001,PRIVATE_IP_017,54564,502,Query,0,0,0,0,0,A
280,2.1475415229797363,PRIVATE_IP_018,PRIVATE_IP_001,502,38606,Response,0,0,1,0,0,FA
281,2.1475632190704346,PRIVATE_IP_001,PRIVATE_IP_018,38606,502,Query,0,0,0,0,0,A
282,2.147592067718506,PRIVATE_IP_021,PRIVATE_IP_001,502,42700,Response,0,0,1,0,0,FA
283,2.147615909576416,PRIVATE_IP_001,PRIVATE_IP_021,42700,502,Query,0,0,0,0,0,A
285,2.148512601852417,PRIVATE_IP_015,PRIVATE_IP_001,502,38304,Response,0,0,1,0,0,FA
286,2.1485469341278076,PRIVATE_IP_001,PRIVATE_IP_015,38304,502,Query,0,0,0,0,0,A
288,2.1499125957489014,PRIVATE_IP_015,PRIVATE_IP_001,502,38306,Response,0,0,1,0,0,FA
289,2.149953603744507,PRIVATE_IP_001,PRIVATE_IP_015,38306,502,Query,0,0,0,0,0,A
290,2.1558172702789307,PRIVATE_IP_001,PRIVATE_IP_018,38980,502,Query,12,0,0,0,0,PA
291,2.157740831375122,PRIVATE_IP_001,PRIVATE_IP_017,57952,502,Query,12,0,0,0,0,PA
292,2.1577987670898438,PRIVATE_IP_001,PRIVATE_IP_019,59746,502,Query,12,0,0,0,0,PA
293,2.158921480178833,PRIVATE_IP_001,PRIVATE_IP_016,34020,502,Query,12,0,0,0,0,PA
294,2.158964157104492,PRIVATE_IP_001,PRIVATE_IP_021,43314,502,Query,12,0,0,0,0,PA
295,2.16001558303833,PRIVATE_IP_018,PRIVATE_IP_001,502,38980,Response,11,0,0,0,0,PA
296,2.160090684890747,PRIVATE_IP_001,PRIVATE_IP_018,38980,502,Query,0,0,0,0,0,A
297,2.160736083984375,PRIVATE_IP_017,PRIVATE_IP_001,502,57952,Response,11,0,0,0,0,PA
298,2.160799264907837,PRIVATE_IP_001,PRIVATE_IP_017,57952,502,Query,0,0,0,0,0,A
299,2.162404775619507,PRIVATE_IP_019,PRIVATE_IP_001,502,59746,Response,161,0,0,0,0,PA
